"CADMIUM STATISTICS1",,,,,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,,,,
"[All values are in metric tons (t) cadmium content unless otherwise noted]",,,,,,,,,,
"Last modification: October 13, 2011",,,,,,,,,,
"Year","Production","Imports","Exports","Shipments","Stocks","Apparent consumption","Unit value ($/t)","Unit value (98 $/t)","World production","Estimated"
1991,1680,2040,448,1740,725,3080,4430,5300,20900,18948
1992,1620,1960,213,2080,588,3270,2000,2320,19600,19033
1993,1090,1420,38,1320,299,3010,994,1120,18700,19113
1994,1010,1110,1450,1290,139,1040,2490,2740,18200,19189
1995,1270,848,1050,1280,222,1160,4050,4330,20100,19259
1996,1530,843,201,1310,479,2250,2730,2840,18900,19326
1997,2060,790,554,1370,1090,2510,1130,1150,20300,19388
1998,1240,514,180,1570,729,2100,626,626,20200,19446
1999,1190,294,20,1020,893,1850,390,382,20000,19501
2000,1890,425,314,1580,1200,2010,362,343,20300,19553
2001,1450,107,216,1040,1750,1000,500,460,20000,19601
2002,1280,81,264,1470,1360,1700,644,583,17800,19646
2003,1450,112,615,1200,1430,1020,1310,1160,18400,19689
2004,1480,263,154,1410,1170,1840,1200,1040,18600,19728
2005,1470,288,686,1680,184,2060,3300,2750,20100,19766
2006,723,180,483,833,74,530,2980,2410,19900,19800
2007,735,316,424,692,107,594,7610,5980,19400,19833
2008,777,197,421,774,132,528,5920,4480,22800,19864
2009,633,122,661,737,27,199,2870,2180,20800,19892
2010,637,221,306,563,102,477,3900,2820,21100,19919
"NA Not available. ",,,,,,,,,,19944
"1Compiled by D.A. Buckingham (retired), J. Plachy (retired), P.H. Kuck, and A.C. Tolcin.",,,,,,,,,,19968
"Data are calculated, estimated, or reported.  See notes for more information.",,,,,,,,,,19990
,,,,,,,,,,20011
,,,,,,,,,,20030
,,,,,,,,,,20048
,,,,,,,,,,20065
,,,,,,,,,,20081
,,,,,,,,,,20095
,,,,,,,,,,20109
,,,,,,,,,,20122
,,,,,,,,,,20134
,,,,,,,,,,20146
,,,,,,,,,,20156
,,,,,,,,,,20166
,,,,,,,,,,20176
,,,,,,,,,,20184
,,,,,,,,,,20192
,,,,,,,,,,20200
,,,,,,,,,,20207
,,,,,,,,,,20214
,,,,,,,,,,20220
,,,,,,,,,,20226
,,,,,,,,,,20231
,,,,,,,,,,20236
,,,,,,,,,,20241
,,,,,,,,,,20246
,,,,,,,,,,20250
,,,,,,,,,,20254
,,,,,,,,,,20257
,,,,,,,,,,20261
,,,,,,,,,,20264
,,,,,,,,,,20267
,,,,,,,,,,20270
,,,,,,,,,,20272
,,,,,,,,,,20275
,,,,,,,,,,20277
,,,,,,,,,,20279
,,,,,,,,,,20281
,,,,,,,,,,20283
,,,,,,,,,,20285
,,,,,,,,,,20286
,,,,,,,,,,20288
,,,,,,,,,,20289
,,,,,,,,,,20290
,,,,,,,,,,20292
,,,,,,,,,,20293
,,,,,,,,,,20294
,,,,,,,,,,20295
,,,,,,,,,,20296
,,,,,,,,,,20297
,,,,,,,,,,20298
,,,,,,,,,,20298
,,,,,,,,,,20299
,,,,,,,,,,20300
,,,,,,,,,,20300
,,,,,,,,,,20301
,,,,,,,,,,20302
,,,,,,,,,,20302
,,,,,,,,,,20303
,,,,,,,,,,20303
,,,,,,,,,,20303
,,,,,,,,,,20304
,,,,,,,,,,20304
,,,,,,,,,,20305
,,,,,,,,,,20305
,,,,,,,,,,20305
,,,,,,,,,,20305
,,,,,,,,,,20306
,,,,,,,,,,20306
,,,,,,,,,,20306
,,,,,,,,,,20306
,,,,,,,,,,20307
,,,,,,,,,,20307
,,,,,,,,,,20307
,,,,,,,,,,20307
,,,,,,,,,,20307
,,,,,,,,,,20307
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20308
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20309
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
,,,,,,,,,,20310
