"Year","U.S. Production","Log. Logistic","Log. Gaussian","Reserves"
2094,,"2908009.23947662","5334580.91246268",-217882556
2095,,"2908059.09922527","5354783.6154985 ",-220790615
2096,,"2908106.5486542 ","5374927.0936694 ",-223698721
2097,,"2908151.70424164","5395011.67438306",-226606873
2098,,"2908194.67684092","5415037.68255743",-229515068
2099,,"2908235.57195177","5435005.4406405 ",-232423303
2100,,"2908274.48997853","5454915.26863   ",-235331578
2101,,"2908311.52647594","5474767.48409315",-238239889
2102,,"2908346.77238309","5494562.40218632",-241148236
2103,,"2908380.31424613","5514300.33567469",-244056616
2104,,"2908412.23443028","5533981.59495179",-246965029
2105,,"2908442.61132156","5553606.48805902",-249873471
2106,,"2908471.51951889","5573175.32070509",-252781943
2107,,"2908499.03001683","5592688.3962854 ",-255690442
2108,,"2908525.21037965","5612146.01590134",-258598967
2109,,"2908550.12490688","5631548.47837948",-261507517
2110,,"2908573.83479098","5650896.08029073",-264416091
2111,,"2908596.39826736","5670189.11596931",-267324687
2112,,"2908617.87075713","5689427.87753179",-270233305
2113,,"2908638.30500305","5708612.65489584",-273141943
2114,,"2908657.75119891","5727743.73579898",-276050601
2115,,"2908676.2571126 ","5746821.40581727",-278959277
2116,,"2908693.86820329","5765845.9483838 ",-281867971
2117,,"2908710.62773296","5784817.64480706",-284776682
2118,,"2908726.57687255","5803736.77428935",-287685408
2119,,"2908741.75480296","5822603.61394483",-290594150
2120,,"2908756.19881124","5841418.4388177 ",-293502906
2121,,"2908769.94438201","5860181.5219001 ",-296411676
2122,,"2908783.02528463","5878893.13414991",-299320459
2123,,"2908795.47365602","5897553.54450852",-302229255
2124,,"2908807.32007959","5916163.01991832",-305138062
2125,,"2908818.59366027","5934721.82534025",-308046881
2126,,"2908829.32209597","5953230.22377102",-310955710
2127,,"2908839.53174559","5971688.47626037",-313864550
2128,,"2908849.24769374","5990096.84192818",-316773399
2129,,"2908858.49381226","6008455.57798124",-319682257
2130,,"2908867.29281893","6026764.93973025",-322591125
